name,url,country,location,qs_ranking_preview,the_ranking_preview,arwu_ranking_preview,bachelor_from,bachelor_to,master_from,master_to,doctorate_from,doctorate_to,location_full,establishment_year,total_students,international_students,female_students,acceptance_rate,qs_rating,the_rating,rating_usa,iso3_code,country_name,iso2_code,gdp,unemployment_rate,school_enrollment_tert,adult_literacy_rate,heritage_year,economic_freedom_score
Harvard University,https://www.unipage.net/en/67/harvard_university,US,"United States,Cambridge",4.0,3.0,1.0,"7,918","60,144","7,748","78,067","11,128","11,128","Cambridge, United States",1636.0,"29,236","10,077",50%,3%,#4,#3,#1,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Massachusetts Institute of Technology,https://www.unipage.net/en/6/massachusetts_institute_of_technology,US,"United States,Boston",1.0,2.0,3.0,"61,990","61,990","61,990","144,000","61,990","61,990","Boston, United States",1861.0,"11,839","3,650",40%,4%,#1,#2,#3,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Stanford University,https://www.unipage.net/en/147/stanford_university,US,"United States,California",6.0,6.0,2.0,"43,406","58,400","26,473","143,106","25,433","47,727","California, United States",1885.0,"17,995","3,883",46%,4%,#6,#6,#2,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Cambridge,https://www.unipage.net/en/5/university_of_cambridge,GB,"United Kingdom,Cambridge",5.0,5.0,4.0,"30,895","44,584","10,910","70,626","13,053","105,926","Cambridge, United Kingdom",1318.0,"19,875","7,340",47%,12%,#5,#5,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
California Institute of Technology,https://www.unipage.net/en/30/california_institute_of_technology,US,"United States,California",10.0,7.0,9.0,"56,364","60,816","54,570","60,816","54,570","63,402","California, United States",1891.0,"2,401",683,36%,3%,#10,#7,#19,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Oxford,https://www.unipage.net/en/52/university_of_oxford,GB,"United Kingdom,Oxford",3.0,1.0,7.0,"6,925","270,309","6,104","133,910","11,506","174,810","Oxford, United Kingdom",1096.0,"20,785","7,565",47%,23%,#3,#1,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
Princeton University,https://www.unipage.net/en/195/princeton_university,US,"United States,Princeton",22.0,4.0,6.0,"48,489","62,383","53,876","59,694",,,"Princeton, United States",1746.0,"8,765","2,032",47%,6%,#22,#4,#9,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Chicago,https://www.unipage.net/en/321/university_of_chicago,US,"United States,Chicago",21.0,,10.0,"59,240","67,428",0,"95,868",,,"Chicago, United States",1890.0,"18,255","4,400",,5%,#21,,#12,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University College London,https://www.unipage.net/en/152/university_college_london,GB,"United Kingdom,London",9.0,22.0,17.0,"25,462","25,462","25,171","25,171",,,"London, United Kingdom",1826.0,"34,785","16,465",58%,,#9,#22,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
ETH Zürich,https://www.unipage.net/en/65/eth_z_rich,CH,"Switzerland,Zurich",7.0,11.0,20.0,"1,340","1,340","1,571","5,393",301,"2,411","Zurich, Switzerland",1855.0,"22,461","8,892",32%,,#7,#11,,CHE,Switzerland,CH,936564198048.516,4.11,74.0060882568359,,2025.0,83.7
University of California,https://www.unipage.net/en/191/university_of_california,US,"United States,California",12.0,8.0,5.0,"29,746","45,084","20,594","112,277","6,542","33,949","California, United States",1868.0,"45,303","8,809",51%,11%,#12,#8,#4,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Columbia University,https://www.unipage.net/en/144/columbia_university,US,"United States,New York",34.0,18.0,8.0,"66,121","66,121","38,990","87,888",,,"New York, United States",1754.0,"34,782","12,321",,4%,#34,#18,#5,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Cornell University,https://www.unipage.net/en/193/cornell_university,US,"United States,New York",16.0,20.0,12.0,"60,286","79,823","20,444","129,918","20,800","56,824","New York, United States",1865.0,"25,839","6,086",50%,7%,#16,#20,#10,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Imperial College London,https://www.unipage.net/en/57/imperial_college_london,GB,"United Kingdom,London",2.0,9.0,23.0,"43,628","71,103","16,286","89,375","6,239","58,391","London, United Kingdom",1907.0,"20,135","10,965",40%,,#2,#9,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
Johns Hopkins University,https://www.unipage.net/en/649/johns_hopkins_university,US,"United States,Baltimore",32.0,16.0,16.0,"54,145","62,823","15,746","94,584","24,983","71,184","Baltimore, United States",1876.0,"30,874","8,721",52%,7%,#32,#16,#14,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Pennsylvania,https://www.unipage.net/en/333/university_of_pennsylvania,US,"United States,Philadelphia",11.0,14.0,14.0,"58,604","63,435","26,849","87,347","37,668","41,533","Philadelphia, United States",1740.0,"27,523","4,636",53%,7%,#11,#14,,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of California Los Angeles,https://www.unipage.net/en/637/university_of_california_los_angeles,US,"United States,California",42.0,18.0,13.0,"43,461","43,461","62,188","62,188",,,"California, United States",1919.0,"46,430","6,064",55%,9%,#42,#18,#6,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Michigan,https://www.unipage.net/en/320/university_of_michigan,US,"United States,Ann Arbor",44.0,22.0,26.0,"52,252","58,056","9,857","149,960",,,"Ann Arbor, United States",1817.0,"50,978","7,511",50%,18%,#44,#22,#18,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
"University of California, San Diego",https://www.unipage.net/en/125/university_of_california_san_diego,US,"United States,California",72.0,,19.0,"44,475","46,314","8,998","57,188","32,678","34,044","California, United States",1960.0,"39,811","9,157",,46%,#72,,#26,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Toronto,https://www.unipage.net/en/71/university_of_toronto,CA,"Canada,Toronto",25.0,21.0,24.0,"41,696","58,160","18,798","82,651","4,452","4,452","Toronto, Canada",1827.0,"81,015","29,760",57%,,#25,#21,,CAN,Canada,CA,2241253230970.34,6.45,76.2586212158203,,2025.0,75.5
Northwestern University,https://www.unipage.net/en/636/northwestern_university,US,"United States,Evanston",50.0,31.0,30.0,"56,271","64,870","8,665","111,066","9,341","73,734","Evanston, United States",1851.0,"23,005","5,123",50%,7%,#50,#31,#16,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Duke University,https://www.unipage.net/en/395/duke_university,US,"United States,Durham",61.0,27.0,34.0,"57,633","66,326","18,966","97,680",,,"Durham, United States",1838.0,"17,953","3,450",52%,6%,#61,#27,#13,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Tokyo,https://www.unipage.net/en/73/university_of_tokyo,JP,"Japan,Tokyo",32.0,28.0,27.0,"4,112","4,112","3,746","22,130","3,641","5,020","Tokyo, Japan",1877.0,"28,409","3,109",,10%,#32,#28,,JPN,Japan,JP,4026210821146.81,2.563,64.8912200927734,,2025.0,70.2
Kyoto University,https://www.unipage.net/en/170/kyoto_university,JP,"Japan,Kyoto",50.0,55.0,39.0,"4,145","4,700","3,746","24,945",,,"Kyoto, Japan",1897.0,"22,596","2,034",25%,10%,#50,#55,,JPN,Japan,JP,4026210821146.81,2.563,64.8912200927734,,2025.0,70.2
